2023-01-01,08:30,2,Male,25,1,5
2023-01-01,08:37,3,Female,29,1,9
2023-01-01,08:44,4,Male,40,2,6
2023-01-01,08:51,1,Female,22,4,8
2023-01-01,08:58,2,Male,35,1,5
2023-01-01,09:05,3,Female,28,3,7
2023-01-01,09:12,1,Male,45,2,6
2023-01-01,09:19,4,Female,33,4,8
2023-01-01,09:26,1,Male,27,1,5
2023-01-01,09:33,2,Female,38,3,7
2023-01-01,09:40,1,Male,30,2,6
2023-01-01,09:47,3,Female,32,4,8
2023-01-01,09:54,2,Male,28,1,5
2023-01-01,10:01,4,Female,35,3,7
2023-01-01,10:08,1,Male,1,2,6
2023-01-01,10:15,2,Female,27,4,8
2023-01-01,10:22,3,Male,31,1,5
2023-01-01,10:29,4,Female,26,3,7
2023-01-01,10:36,1,Male,29,2,6
2023-01-01,10:43,2,Female,34,4,8
2023-01-01,10:50,1,Male,33,1,5
2023-01-01,10:57,3,Female,37,3,7
2023-01-01,11:04,2,Male,24,2,6
2023-01-01,11:11,4,Female,30,4,8
2023-01-01,11:18,1,Male,35,1,5
2023-01-01,11:25,3,Female,28,3,7
2023-01-01,11:32,2,Male,40,2,6
2023-01-01,11:39,4,Female,33,4,8
2023-01-01,11:46,1,Male,27,1,5
2023-01-01,11:53,2,Female,38,3,7
2023-01-01,12:00,1,Male,30,2,6
2023-01-01,12:07,3,Female,32,4,8
2023-01-01,12:14,2,Male,28,1,5
2023-01-01,12:21,4,Female,35,3,7
2023-01-01,12:28,1,Male,40,2,6
2023-01-01,12:35,2,Female,27,4,8
2023-01-01,12:42,3,Male,31,1,5
2023-01-01,12:49,4,Female,26,3,7
2023-01-01,12:56,1,Male,29,2,6
2023-01-01,13:03,2,Female,34,4,8
2023-01-01,13:10,1,Male,33,1,5
2023-01-01,13:17,3,Female,37,3,7
2023-01-01,13:24,2,Male,24,2,6
2023-01-01,13:31,4,Female,30,4,8
2023-01-01,13:38,1,Male,35,1,5
2023-01-01,13:45,3,Female,28,3,7
2023-01-01,13:52,2,Male,40,2,6
2023-01-01,13:59,4,Female,33,4,8
2023-01-01,14:06,1,Male,27,1,5
2023-01-01,14:13,2,Female,38,3,7
2023-01-01,14:20,1,Male,30,2,6
2023-01-01,14:27,3,Female,32,4,8
2023-01-01,14:34,2,Male,28,1,5
2023-01-01,14:41,4,Female,35,3,7
2023-01-01,14:48,1,Male,40,2,6
2023-01-01,14:55,2,Female,27,4,8
2023-01-01,15:02,3,Male,31,1,5
2023-01-01,15:09,4,Female,26,3,7
2023-01-01,15:16,1,Male,29,2,6
2023-01-01,15:23,2,Female,34,4,8
2023-01-01,15:30,1,Male,33,1,5
2023-01-01,15:37,3,Female,37,3,7
2023-01-01,15:44,2,Male,24,2,6
2023-01-01,15:51,4,Female,30,4,8
2023-01-01,15:58,1,Male,35,1,5
2023-01-01,16:05,3,Female,28,3,7
2023-01-01,16:12,2,Male,40,2,6
2023-01-01,16:19,4,Female,33,4,8
2023-01-01,16:26,1,Male,27,1,5
2023-01-01,16:33,2,Female,38,3,7
2023-01-01,16:40,1,Male,30,2,6
2023-01-01,16:47,3,Female,32,4,8
2023-01-01,16:54,2,Male,28,1,5
2023-01-01,17:01,4,Female,35,3,7
2023-01-01,17:08,1,Male,40,2,6
2023-01-01,17:15,2,Female,27,4,8
2023-01-01,17:22,3,Male,31,1,5
2023-01-01,17:29,4,Female,26,3,7
2023-01-01,17:36,1,Male,29,2,6
2023-01-01,17:43,2,Female,34,4,8
2023-01-01,17:50,1,Male,33,1,5
2023-01-01,17:57,3,Female,37,3,7
2023-01-01,18:04,2,Male,24,2,6
2023-01-01,18:11,4,Female,30,4,8
2023-01-01,18:18,1,Male,35,1,5
2023-01-01,18:25,3,Female,28,3,7
2023-01-01,18:32,2,Male,40,2,6
2023-01-01,18:39,4,Female,33,4,8
2023-01-01,18:46,1,Male,27,1,5
2023-01-01,18:53,2,Female,38,3,7
2023-01-01,19:00,1,Male,30,2,6
2023-01-01,19:07,3,Female,32,4,8
2023-01-01,19:14,2,Male,28,1,5
2023-01-01,19:21,4,Female,35,3,7
2023-01-01,19:28,1,Male,40,2,6
2023-01-01,19:35,2,Female,27,4,8
2023-01-01,19:42,3,Male,31,1,5
2023-01-01,19:49,4,Female,26,3,7
2023-01-01,19:56,1,Male,29,2,6
